Player,Team,years_with_team,draft_pos,all_star,num_teams,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,ig_followers,resigned,Agent
Trevor Ariza,23,1,43,0,10,36,30,17,13,28.0,9.4,3.3,8.0,41.1,1.7,4.8,35.0,1.1,1.5,77.3,0.9,3.9,4.8,1.8,0.7,1.0,0.6,1.8,22.1,1.0,0.0,1.3,0,0,0.0
Jalen McDaniels,27,2,52,0,1,23,47,18,29,19.2,7.4,2.8,6.0,46.8,0.7,2.2,33.3,1.0,1.4,70.3,1.0,2.6,3.6,1.1,1.0,0.6,0.4,2.0,15.4,2.0,0.0,-3.8,55513,1,23.0
Garrett Temple,6,1,61,0,10,35,56,25,31,27.3,7.6,2.8,6.8,41.5,1.2,3.6,33.5,0.7,0.9,80.0,0.5,2.3,2.9,2.2,1.0,0.8,0.5,2.3,17.2,0.0,0.0,0.9,59046,0,100.0
Jaylen Nowell,17,2,43,0,1,21,42,10,32,18.1,9.0,3.4,8.0,42.4,1.2,3.6,33.3,1.1,1.3,81.8,0.5,1.8,2.3,1.5,0.7,0.5,0.3,1.7,15.7,0.0,0.0,-2.4,53851,1,0.0
Amir Coffey,16,2,61,0,1,24,44,32,12,9.0,3.2,1.0,2.3,43.7,0.5,1.3,41.1,0.6,0.9,71.1,0.2,0.8,1.0,0.5,0.3,0.2,0.0,0.7,5.5,0.0,0.0,-0.6,28772,1,89.0
Terrence Ross,29,4,8,0,3,30,46,16,30,29.3,15.6,5.5,13.4,41.2,1.9,5.7,33.7,2.6,3.0,87.0,0.3,3.1,3.4,2.3,1.6,1.0,0.5,1.9,26.1,0.0,0.0,-5.1,0,1,0.0
Terence Davis,14,1,61,0,2,24,61,26,35,17.6,8.7,3.2,7.5,42.8,1.6,4.4,36.7,0.7,0.9,81.8,0.3,2.2,2.5,1.4,1.0,0.7,0.2,1.6,15.6,0.0,0.0,-1.1,0,1,0.0
John Wall,26,1,1,5,2,30,40,12,28,32.2,20.6,7.3,18.2,40.4,2.0,6.2,31.7,4.0,5.3,74.9,0.4,2.8,3.2,6.9,3.5,1.1,0.8,1.2,36.7,7.0,1.0,-4.2,0,1,0.0
Jae'Sean Tate,26,1,61,0,1,25,70,17,53,29.2,11.3,4.5,8.9,50.6,0.9,2.8,30.8,1.5,2.1,69.4,1.9,3.5,5.3,2.5,1.4,1.2,0.5,3.2,25.4,3.0,0.0,-2.7,0,1,0.0
Wesley Matthews,15,1,61,0,6,34,58,33,25,19.5,4.8,1.5,4.3,35.3,1.1,3.4,33.5,0.6,0.7,85.4,0.3,1.3,1.6,0.9,0.4,0.7,0.3,1.4,10.5,0.0,0.0,0.7,0,1,0.0
Aaron Gordon,11,1,4,0,2,25,50,29,21,27.7,12.4,4.6,10.0,46.3,1.2,3.5,33.5,1.9,3.0,65.1,1.5,4.1,5.7,3.2,1.9,0.7,0.7,1.8,26.1,3.0,1.0,1.2,1233756,1,40.0
Richaun Holmes,14,2,37,0,3,27,61,29,32,29.2,14.2,6.0,9.4,63.7,0.0,0.2,18.2,2.2,2.8,79.4,2.4,5.9,8.3,1.7,1.2,0.6,1.6,3.5,32.1,21.0,0.0,0.1,62043,1,35.0
Norman Powell,2,1,46,0,2,28,69,32,37,32.0,18.6,6.3,13.3,47.7,2.5,6.0,41.1,3.4,3.9,87.1,0.6,2.5,3.1,1.9,1.7,1.2,0.3,2.3,27.8,0.0,0.0,1.1,314227,1,39.0
Dewayne Dedmon,23,1,61,0,6,31,16,11,5,13.2,7.1,2.9,4.1,70.8,0.1,0.3,20.0,1.3,1.7,74.1,1.8,3.6,5.4,0.8,0.8,0.6,0.4,2.3,16.6,1.0,0.0,4.3,0,1,0.0
Domantas Sabonis,25,4,11,2,2,25,62,29,33,36.0,20.3,7.8,14.6,53.5,0.8,2.6,32.1,3.9,5.3,73.2,2.4,9.5,12.0,6.7,3.4,1.2,0.5,3.3,46.6,48.0,9.0,-1.5,381781,1,14.0
Patrick Beverley,16,4,42,0,2,32,37,25,12,22.5,7.5,2.5,5.9,42.3,1.5,3.8,39.7,1.0,1.2,80.0,0.8,2.4,3.2,2.1,0.9,0.8,0.8,2.9,18.2,0.0,0.0,4.0,0,1,0.0
Gordon Hayward,27,1,9,1,3,31,44,24,20,34.0,19.6,7.1,15.0,47.3,1.9,4.7,41.5,3.5,4.2,84.3,0.8,5.0,5.9,4.1,2.1,1.2,0.3,1.7,35.3,2.0,0.0,0.4,0,1,0.0
Jaxson Hayes,7,2,8,0,1,21,60,24,36,16.1,7.5,2.9,4.7,62.5,0.1,0.2,42.9,1.6,2.0,77.5,1.5,2.8,4.3,0.6,0.7,0.4,0.6,1.7,16.0,0.0,0.0,-0.4,307948,1,10.0
Gorgui Dieng,22,1,21,0,3,31,38,14,24,14.5,6.8,2.2,4.3,52.1,0.8,1.8,42.9,1.5,1.8,86.6,1.1,2.6,3.7,1.3,0.8,0.7,0.4,1.5,15.6,0.0,0.0,-1.8,0,0,0.0
James Johnson,7,1,16,0,7,34,51,21,30,20.5,7.2,2.9,6.4,44.6,0.6,2.4,25.8,0.9,1.5,59.2,0.6,2.8,3.5,1.9,1.1,0.8,0.8,2.4,18.1,0.0,0.0,-2.5,0,0,49.0
Robert Covington,2,2,61,0,4,30,70,42,28,32.0,8.5,2.9,7.3,40.1,1.9,5.1,37.9,0.7,0.9,80.6,0.9,5.8,6.7,1.7,0.9,1.4,1.2,2.8,26.0,6.0,0.0,2.9,0,1,0.0
Jordan Clarkson,10,2,46,0,3,29,68,49,19,26.7,18.4,6.7,15.8,42.5,3.1,8.8,34.7,1.9,2.1,89.6,0.7,3.3,4.0,2.5,1.7,0.9,0.1,1.6,28.4,0.0,0.0,4.4,2046880,1,6.0
Justin Jackson,4,1,15,0,3,26,34,12,22,17.0,7.2,2.6,6.5,40.3,1.1,3.4,30.8,0.9,1.1,83.8,0.5,1.8,2.3,1.5,0.9,0.4,0.1,0.9,12.8,0.0,0.0,-1.2,0,1,0.0
Anthony Lamb,26,1,61,0,1,23,24,3,21,17.3,5.5,1.9,4.9,39.0,1.0,3.0,32.4,0.8,0.9,85.7,1.1,1.8,2.9,1.0,0.8,0.3,0.2,1.4,11.1,0.0,0.0,-3.7,0,1,0.0
Ed Davis,17,1,13,0,7,32,23,5,18,13.0,2.1,0.8,1.9,43.2,0.0,0.0,0.0,0.4,0.5,83.3,2.0,3.0,5.0,0.9,0.3,0.6,0.6,2.4,12.5,0.0,0.0,-2.0,0,1,0.0
Trey Lyles,22,1,12,0,4,25,23,10,13,15.6,5.0,1.9,3.9,47.8,0.6,1.7,35.0,0.7,1.0,65.2,0.4,3.3,3.7,0.6,0.3,0.3,0.0,0.6,11.1,1.0,0.0,-4.7,159280,0,6.0
Jayson Tatum,9,4,3,2,1,23,64,34,30,35.8,26.4,9.5,20.6,45.9,2.9,7.6,38.6,4.6,5.3,86.8,0.8,6.6,7.4,4.3,2.7,1.2,0.5,1.9,44.1,15.0,1.0,2.5,7302508,1,0.0
Romeo Langford,9,2,14,0,1,21,18,9,9,15.7,3.1,1.2,3.3,35.6,0.3,1.0,27.8,0.5,0.7,75.0,0.7,1.3,1.9,0.7,0.6,0.3,0.3,1.3,7.8,0.0,0.0,-3.7,0,1,0.0
Aaron Nesmith,9,1,14,0,1,21,46,22,24,14.5,4.7,1.7,3.9,43.8,0.9,2.3,37.0,0.5,0.6,78.6,0.6,2.2,2.8,0.5,0.5,0.3,0.2,1.9,9.9,0.0,0.0,-0.2,100102,1,47.0
Chris Boucher,24,3,61,0,2,28,60,25,35,24.2,13.6,4.8,9.3,51.4,1.5,3.9,38.3,2.5,3.2,78.8,2.0,4.8,6.7,1.1,0.8,0.6,1.9,2.8,29.8,12.0,0.0,1.6,172247,1,25.0
Markelle Fultz,29,2,1,0,2,23,8,6,2,26.9,12.9,5.1,13.0,39.4,0.5,2.0,25.0,2.1,2.4,89.5,0.6,2.5,3.1,5.4,2.3,1.0,0.3,2.3,26.2,1.0,0.0,-3.6,0,1,0.0
Louis King,14,1,61,0,2,22,6,3,3,14.2,7.3,2.8,5.7,50.0,0.7,1.8,36.4,1.0,1.0,100.0,0.8,2.2,3.0,1.5,0.7,1.2,0.5,1.5,17.5,0.0,0.0,-0.5,0,1,0.0
Chris Silva,14,2,61,0,2,24,15,8,7,6.2,2.1,0.7,1.1,62.5,0.1,0.1,100.0,0.7,1.0,73.3,0.5,1.3,1.8,0.4,0.7,0.1,0.4,1.6,5.6,0.0,0.0,-0.1,0,0,0.0
